                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.67592,                0.55513,                 1.1348,                0.93592,                0.80528,                0.88513,                0.75342,                0.63298,                0.46569,                 1.1081,               0.008317,               0.008317,               0.008317
                     53,                0.66821,                0.54816,                 1.1329,                0.94166,                0.79753,                0.89081,                0.75659,                0.62706,                 0.4567,                 1.0994,               0.008284,               0.008284,               0.008284
                     54,                0.67126,                0.55259,                 1.1273,                0.94684,                0.79299,                 0.8839,                 0.7532,                0.63209,                0.47451,                 1.1028,               0.008251,               0.008251,               0.008251
                     55,                0.66283,                0.53936,                  1.124,                0.93366,                0.80773,                0.88508,                0.75196,                0.62702,                0.47038,                 1.1003,               0.008218,               0.008218,               0.008218
                     56,                0.66458,                0.54692,                 1.1273,                0.94003,                0.80523,                0.88867,                0.75432,                0.62858,                0.45847,                  1.099,               0.008185,               0.008185,               0.008185
                     57,                0.67134,                0.54162,                 1.1277,                0.94153,                0.80351,                0.88636,                0.75336,                0.63186,                0.45675,                 1.1065,               0.008152,               0.008152,               0.008152
                     58,                0.66655,                0.53867,                 1.1253,                0.93663,                0.80994,                 0.8888,                0.75515,                0.62841,                0.45587,                 1.1025,               0.008119,               0.008119,               0.008119
                     59,                0.66271,                0.53568,                 1.1266,                0.93267,                0.81321,                0.89269,                0.75746,                0.62701,                0.46018,                 1.0997,               0.008086,               0.008086,               0.008086
                     60,                0.65784,                 0.5269,                 1.1193,                0.94821,                0.79941,                0.89204,                0.75961,                 0.6203,                0.45595,                 1.0943,               0.008053,               0.008053,               0.008053
                     61,                0.65654,                0.52545,                 1.1182,                0.94516,                0.80953,                  0.893,                  0.757,                0.62702,                0.44981,                 1.0975,                0.00802,                0.00802,                0.00802
                     62,                0.65996,                0.52615,                 1.1168,                0.93714,                  0.818,                0.89523,                0.75933,                0.62135,                0.44283,                 1.0906,               0.007987,               0.007987,               0.007987
                     63,                 0.6599,                0.52628,                 1.1209,                0.94382,                0.81368,                 0.8928,                0.75925,                0.62481,                0.44573,                 1.0926,               0.007954,               0.007954,               0.007954
                     64,                0.65596,                0.52355,                 1.1142,                0.94889,                0.80822,                0.89214,                0.75815,                0.62799,                0.44411,                 1.0948,               0.007921,               0.007921,               0.007921
                     65,                0.65619,                0.52823,                 1.1134,                0.94858,                0.80382,                0.89357,                0.76029,                0.62384,                0.43847,                  1.095,               0.007888,               0.007888,               0.007888
                     66,                0.65495,                 0.5201,                 1.1127,                 0.9402,                 0.8154,                0.89287,                0.76149,                0.62095,                 0.4415,                 1.0874,               0.007855,               0.007855,               0.007855
                     67,                0.65467,                0.52339,                 1.1104,                0.94227,                0.80822,                0.89118,                0.75705,                0.62539,                 0.4434,                 1.0951,               0.007822,               0.007822,               0.007822
                     68,                0.64761,                0.51157,                 1.1058,                0.94716,                0.80284,                0.89355,                0.76215,                0.61794,                0.44594,                  1.089,               0.007789,               0.007789,               0.007789
                     69,                0.65131,                 0.5129,                 1.1057,                0.94072,                0.80741,                0.89463,                0.76359,                0.62159,                0.44159,                  1.088,               0.007756,               0.007756,               0.007756
                     70,                0.65675,                0.51106,                 1.1091,                0.93305,                0.82505,                0.89596,                0.76256,                0.62128,                0.43396,                 1.0875,               0.007723,               0.007723,               0.007723
                     71,                0.65062,                0.51513,                 1.1066,                0.94007,                0.81344,                0.89128,                0.76174,                0.61589,                0.44051,                 1.0807,                0.00769,                0.00769,                0.00769
                     72,                0.64546,                 0.5043,                 1.1037,                0.93342,                0.82143,                0.89508,                0.76518,                0.61525,                0.42946,                 1.0839,               0.007657,               0.007657,               0.007657
                     73,                0.64377,                0.50564,                 1.1028,                0.95238,                0.80382,                0.89449,                0.76412,                0.61658,                0.43373,                 1.0879,               0.007624,               0.007624,               0.007624
                     74,                0.65001,                0.50901,                 1.1033,                0.94258,                0.81996,                0.89895,                0.76592,                0.61971,                 0.4371,                 1.0859,               0.007591,               0.007591,               0.007591
                     75,                0.65095,                0.50585,                 1.1061,                0.93597,                0.82241,                0.89793,                0.76466,                0.62359,                0.43546,                 1.0898,               0.007558,               0.007558,               0.007558
                     76,                0.64939,                0.50598,                  1.106,                0.92771,                0.81849,                0.89358,                0.75998,                0.62324,                 0.4399,                 1.0867,               0.007525,               0.007525,               0.007525
                     77,                0.64461,                 0.4983,                 1.1039,                0.92241,                 0.8317,                0.89395,                0.76084,                 0.6198,                0.43068,                 1.0843,               0.007492,               0.007492,               0.007492
                     78,                 0.6424,                0.49936,                 1.0975,                0.94526,                0.81942,                0.89913,                0.76686,                0.61527,                0.41746,                 1.0812,               0.007459,               0.007459,               0.007459
                     79,                0.64175,                0.49565,                 1.0967,                0.94081,                0.80879,                0.89555,                0.76426,                0.62498,                0.42762,                 1.0879,               0.007426,               0.007426,               0.007426
                     80,                0.64275,                0.49766,                 1.0985,                0.93371,                0.82583,                 0.9008,                0.76627,                0.62204,                0.42718,                 1.0887,               0.007393,               0.007393,               0.007393
                     81,                0.64191,                 0.4941,                 1.0945,                0.94492,                0.81311,                0.89797,                0.76524,                 0.6195,                0.43331,                 1.0905,                0.00736,                0.00736,                0.00736
                     82,                 0.6456,                0.50166,                 1.0995,                0.96091,                0.80576,                0.89459,                0.76174,                0.61655,                0.42556,                  1.081,               0.007327,               0.007327,               0.007327
                     83,                0.63155,                0.48471,                 1.0957,                0.94294,                0.81659,                0.89898,                0.76771,                0.62337,                0.43448,                 1.0861,               0.007294,               0.007294,               0.007294
                     84,                0.63582,                0.49814,                 1.0911,                0.93341,                0.82293,                0.90143,                 0.7685,                0.61266,                0.41991,                 1.0761,               0.007261,               0.007261,               0.007261
                     85,                0.63693,                0.49228,                 1.0942,                0.94641,                0.82943,                 0.8991,                0.76688,                0.61767,                0.41751,                 1.0821,               0.007228,               0.007228,               0.007228
                     86,                0.63593,                0.48927,                 1.0902,                0.94608,                0.81311,                0.89588,                0.76436,                0.61698,                0.42598,                 1.0799,               0.007195,               0.007195,               0.007195
                     87,                0.63397,                0.48386,                 1.0913,                0.95291,                0.80192,                0.89533,                0.76305,                0.61996,                0.42836,                 1.0823,               0.007162,               0.007162,               0.007162
                     88,                0.63253,                0.48286,                 1.0889,                0.94328,                0.82179,                0.90324,                0.76827,                0.62007,                0.41977,                 1.0829,               0.007129,               0.007129,               0.007129
