                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.63602,                0.44915,                 1.0373,                0.95118,                0.79159,                0.87281,                 0.7422,                0.61845,                0.40714,                 1.0494,                0.00802,                0.00802,                0.00802
                     62,                0.63845,                0.45351,                 1.0363,                0.94572,                0.80118,                0.87677,                0.74505,                0.61125,                0.40187,                 1.0406,               0.007987,               0.007987,               0.007987
                     63,                0.64046,                0.45002,                 1.0454,                0.93454,                0.80322,                0.87528,                0.74635,                0.61304,                0.39885,                 1.0437,               0.007954,               0.007954,               0.007954
                     64,                0.63728,                0.44866,                 1.0371,                0.94933,                 0.7911,                0.87569,                0.74563,                0.60706,                0.40247,                 1.0378,               0.007921,               0.007921,               0.007921
                     65,                0.63667,                0.44851,                 1.0371,                0.93734,                0.80235,                0.87549,                0.74612,                0.60618,                0.39872,                 1.0381,               0.007888,               0.007888,               0.007888
                     66,                 0.6375,                0.44838,                  1.035,                0.94429,                0.80445,                 0.8774,                0.74781,                0.60597,                0.39231,                 1.0393,               0.007855,               0.007855,               0.007855
                     67,                0.63511,                0.44626,                 1.0334,                 0.9374,                0.80577,                0.87813,                0.74712,                0.61108,                0.39675,                 1.0403,               0.007822,               0.007822,               0.007822
                     68,                0.62776,                0.43948,                 1.0309,                0.94624,                0.79228,                0.87674,                0.74623,                0.60725,                0.39446,                 1.0398,               0.007789,               0.007789,               0.007789
                     69,                0.63004,                0.44051,                 1.0312,                0.93736,                0.80382,                0.87559,                0.74613,                0.60981,                0.39836,                 1.0421,               0.007756,               0.007756,               0.007756
                     70,                0.63419,                0.43904,                 1.0353,                0.95734,                0.79054,                0.87762,                0.74588,                0.61167,                 0.3958,                 1.0445,               0.007723,               0.007723,               0.007723
                     71,                0.63244,                 0.4444,                 1.0344,                0.93661,                0.80239,                0.87625,                0.74506,                0.60569,                0.40006,                  1.039,                0.00769,                0.00769,                0.00769
                     72,                0.62891,                0.43494,                 1.0354,                0.93063,                0.80724,                0.87527,                0.74383,                0.60568,                0.40077,                 1.0377,               0.007657,               0.007657,               0.007657
                     73,                0.62517,                0.43514,                 1.0306,                0.93105,                0.80528,                0.87647,                0.74395,                0.60848,                0.39761,                 1.0384,               0.007624,               0.007624,               0.007624
                     74,                0.62857,                0.43506,                  1.029,                0.93534,                0.81388,                0.88389,                0.75248,                0.60242,                0.38414,                 1.0338,               0.007591,               0.007591,               0.007591
                     75,                0.63417,                0.43605,                 1.0315,                0.93668,                0.80871,                0.88083,                0.74908,                0.60508,                0.39101,                 1.0367,               0.007558,               0.007558,               0.007558
                     76,                0.62956,                0.43824,                 1.0353,                0.94371,                0.79557,                0.87808,                0.74989,                0.59755,                0.39423,                 1.0342,               0.007525,               0.007525,               0.007525
                     77,                0.62309,                0.43226,                 1.0358,                0.93133,                0.80954,                0.87986,                0.74971,                 0.6007,                 0.3908,                 1.0364,               0.007492,               0.007492,               0.007492
                     78,                0.62456,                0.43254,                 1.0276,                0.94855,                0.80528,                0.88287,                0.75338,                0.59955,                0.38268,                 1.0348,               0.007459,               0.007459,               0.007459
                     79,                0.62305,                0.43097,                 1.0276,                0.94839,                 0.7999,                0.87993,                 0.7543,                0.59695,                0.38509,                 1.0302,               0.007426,               0.007426,               0.007426
                     80,                0.62449,                 0.4304,                 1.0295,                0.92033,                0.81944,                0.87882,                0.74981,                0.60119,                0.39347,                 1.0351,               0.007393,               0.007393,               0.007393
                     81,                0.62251,                0.42476,                 1.0247,                0.93641,                0.81407,                0.88022,                0.74994,                0.60202,                0.38704,                 1.0347,                0.00736,                0.00736,                0.00736
                     82,                0.62413,                0.42874,                  1.023,                0.94694,                0.80332,                 0.8841,                0.75063,                0.60673,                0.38592,                 1.0354,               0.007327,               0.007327,               0.007327
                     83,                0.61479,                0.42516,                 1.0261,                0.93932,                0.80871,                0.88592,                 0.7526,                0.60276,                0.38045,                  1.033,               0.007294,               0.007294,               0.007294
                     84,                0.61602,                0.42347,                 1.0232,                0.94553,                0.80969,                0.88413,                0.75173,                0.60417,                0.38421,                  1.035,               0.007261,               0.007261,               0.007261
                     85,                0.61939,                0.42556,                 1.0281,                0.95327,                0.78838,                0.88412,                0.75262,                0.60405,                0.38586,                  1.034,               0.007228,               0.007228,               0.007228
                     86,                0.62017,                0.42496,                 1.0228,                0.95807,                0.79377,                0.88335,                0.75407,                0.59824,                0.38412,                 1.0329,               0.007195,               0.007195,               0.007195
                     87,                0.61312,                 0.4222,                 1.0216,                0.94659,                0.79452,                0.88438,                0.75351,                0.59987,                0.38426,                  1.033,               0.007162,               0.007162,               0.007162
                     88,                0.61352,                0.41951,                 1.0217,                0.92569,                  0.818,                0.88653,                0.75288,                0.60285,                0.38365,                 1.0341,               0.007129,               0.007129,               0.007129
                     89,                0.61622,                0.42552,                 1.0218,                0.94077,                0.80819,                0.88651,                0.75532,                0.60123,                0.37946,                  1.029,               0.007096,               0.007096,               0.007096
                     90,                0.61096,                0.41628,                 1.0189,                0.93422,                0.81295,                0.88624,                0.75593,                0.60552,                0.38092,                 1.0366,               0.007063,               0.007063,               0.007063
                     91,                0.61129,                0.41891,                 1.0197,                0.94155,                 0.8039,                0.88417,                 0.7518,                0.60788,                0.38904,                 1.0398,                0.00703,                0.00703,                0.00703
                     92,                0.61708,                0.41864,                 1.0229,                0.92279,                0.81556,                0.88623,                0.75557,                0.60166,                0.37789,                 1.0349,               0.006997,               0.006997,               0.006997
                     93,                0.61203,                0.41237,                 1.0209,                0.94281,                0.80655,                0.88564,                0.75489,                0.60272,                0.37802,                 1.0336,               0.006964,               0.006964,               0.006964
                     94,                0.61399,                0.41715,                 1.0165,                0.93554,                0.80949,                0.88536,                0.75464,                 0.6007,                 0.3792,                 1.0329,               0.006931,               0.006931,               0.006931
                     95,                0.60814,                0.41415,                 1.0184,                0.94168,                0.80575,                 0.8865,                0.75444,                0.60164,                0.37739,                 1.0363,               0.006898,               0.006898,               0.006898
                     96,                0.60461,                0.40862,                 1.0133,                0.94151,                0.81118,                0.88686,                0.75544,                0.59936,                0.37515,                 1.0342,               0.006865,               0.006865,               0.006865
